destination_id,capacity_mtco2_per_year,basis,real_data_flag,evidence_grade,source_table,source_url,source_year,source_regions,source_products,algorithm,algorithm_version,market_access_fraction,notes
NW_RENEW_H2_QH,25.0,scenario_hub_capacity,0,D,IEA/IRENA green-H2 scenario plus local renewable-hub assumption,,2023,Qinghai,renewable_h2_chemical_hub,scenario_capacity,market_capacity_v1,1.0,No NBS product output directly represents future green-H2 CO2 conversion hub capacity.
EAST_CHEM_SH,18.180794,regional_ethylene_output_proxy,1,C,NBS China Statistical Yearbook 2024 Table 13-13,https://www.stats.gov.cn/sj/ndsj/2024/indexeh.htm,2023,Shanghai;Jiangsu;Zhejiang;Anhui;Fujian;Shandong,ethylene,sum(ethylene_10kt)*0.01*stoich_CO2_to_ethylene*market_access_fraction,market_capacity_v1,0.35,"Proxy for East China chemical offtake; includes only existing ethylene output, not all CO2-derived chemical demand."
SOUTH_FUELS_GD,14.988042,regional_natural_gas_output_proxy,1,C,NBS China Statistical Yearbook 2024 Table 09-19,https://www.stats.gov.cn/sj/ndsj/2024/indexeh.htm,2023,Guangdong;Guangxi;Hainan,natural_gas,sum(natural_gas_100_million_m3)*0.1*bcm_to_mt_ch4*stoich_CO2_to_CH4*market_access_fraction,market_capacity_v1,0.48,Proxy for e-methane/fuel offtake in South China; natural gas output is used as a regional market anchor.
YANGTZE_MINERAL_HB,34.99796,regional_cement_output_concrete_proxy,1,C,NBS China Statistical Yearbook 2024 Table 13-13,https://www.stats.gov.cn/sj/ndsj/2024/indexeh.htm,2023,Hubei,cement,cement_10kt*0.01*concrete_multiplier*mineral_uptake_tco2_per_t_concrete,market_capacity_v1,1.0,"Proxy for concrete/mineralization market using cement output, concrete multiplier 5, uptake 0.0714 tCO2/t concrete."
