source_dataset,pid,name,noneng-name,owner,areas,subnat,status,start-year,capacity,capacity-display,Cement-Capacity-(millions-metric-tonnes-per-annum),Clinker-Capacity-(millions-metric-tonnes-per-annum),prod-type,latitude,longitude,Latitude,Longitude,url,altf-yn,areas-subnat-sat-display,capacity-details,capacity-table,ccs-yn,cem-type,claycal-yn,color,loc-owner,location-accuracy,name-search,owner-search,plant-type,scaling-capacity,status-legend,tracker-acro,tracker-custom,tracker-display,units-of-m
cement,P100000123734,Weihai Shanshui Cement Co Ltd Cement Plant,威海山水水泥有限公司 (Chinese),Weihai Shanshui Cement Co Ltd [100.0%],China;,Shandong,operating,2009,2,2,2,n/a,n/a,37.310234,122.087505,37.310234,122.087505,https://www.gem.wiki/Weihai_Shanshui_Cement_Co_Ltd_Cement_Plant,n/a,"Shandong, China",2,2,n/a,unknown,n/a,,威海山水水泥有限公司 (Chinese) [100%],exact,Weihai Shanshui Cement Co Ltd Cement Plant,Weihai Shanshui Cement Co Ltd [100.0%],grinding,2.0,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123735,Wulanhaote Shanshui Cement Co Ltd Cement Plant,乌兰浩特山水水泥有限公司 (Chinese),Wulanhaote Shanshui Cement Co Ltd [100.0%],China;,Inner Mongolia,operating,2010,1.5,1.5,1.5,n/a,n/a,46.099097,122.135083,46.099097,122.135083,https://www.gem.wiki/Wulanhaote_Shanshui_Cement_Co_Ltd_Cement_Plant,n/a,"Inner Mongolia, China",1.5,1.5,n/a,unknown,n/a,,乌兰浩特山水水泥有限公司 (Chinese) [100%],exact,Wulanhaote Shanshui Cement Co Ltd Cement Plant,Wulanhaote Shanshui Cement Co Ltd [100.0%],grinding,1.5,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123736,Yingkou Shanshui Cement Co Ltd Cement Plant,营口山水水泥有限公司 (Chinese),Yingkou Shanshui Cement Co Ltd [100.0%],China;,Liaoning,operating,,0.008,>0,>0,n/a,n/a,40.420455,122.324314,40.420455,122.324314,https://www.gem.wiki/Yingkou_Shanshui_Cement_Co_Ltd_Cement_Plant,n/a,"Liaoning, China",0.008,0.008,n/a,opc,n/a,grey,营口山水水泥有限公司 (Chinese) [100%],exact,Yingkou Shanshui Cement Co Ltd Cement Plant,Yingkou Shanshui Cement Co Ltd [100.0%],grinding,0.008,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123737,Yishui Chuang-xin Shanshui Cement Co Ltd Cement Plant,沂水山水水泥有限公司 (Chinese),Yishui Chuang-xin Shanshui Cement Co Ltd [100.0%],China;,Shandong,operating,,,n/a,n/a,1.68,dry,35.717067,118.563622,35.717067,118.563622,https://www.gem.wiki/Yishui_Chuang-xin_Shanshui_Cement_Co_Ltd_Cement_Plant,no,"Shandong, China",,,no,unknown,no,,沂水山水水泥有限公司 (Chinese) [100%],exact,Yishui Chuang-xin Shanshui Cement Co Ltd Cement Plant,Yishui Chuang-xin Shanshui Cement Co Ltd [100.0%],clinker only,1.5719178536863079,operating,GCCT,GCCT,Cement and Concrete,
cement,P100000123738,Yulin Shanshui Cement Co Ltd Cement Plant,榆林山水水泥有限公司 (Chinese),Yulin Shanshui Cement Co Ltd [100.0%],China;,Shaanxi,operating,2009,0.008,>0,>0,n/a,n/a,38.380673,109.956107,38.380673,109.956107,https://www.gem.wiki/Yulin_Shanshui_Cement_Co_Ltd_Cement_Plant,n/a,"Shaanxi, China",0.008,0.008,n/a,unknown,n/a,,榆林山水水泥有限公司 (Chinese) [100%],exact,Yulin Shanshui Cement Co Ltd Cement Plant,Yulin Shanshui Cement Co Ltd [100.0%],grinding,0.008,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123739,Zibo Shuangfeng Shanshui Cement Co Ltd Cement Plant,淄博双凤山水水泥有限公司 (Chinese),Zibo Shuangfeng Shanshui Cement Co Ltd [100.0%],China;,Shandong,operating,2004,0.8,0.8,0.8,>0,dry,36.682175,117.991216,36.682175,117.991216,https://www.gem.wiki/Zibo_Shuangfeng_Shanshui_Cement_Co_Ltd_Cement_Plant,no,"Shandong, China",0.8,0.8,no,opc,no,grey,淄博双凤山水水泥有限公司 (Chinese) [100%],exact,Zibo Shuangfeng Shanshui Cement Co Ltd Cement Plant,Zibo Shuangfeng Shanshui Cement Co Ltd [100.0%],integrated,0.8,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123740,Bohai Cement Jinzhou Co Ltd Cement Plant,渤海水泥（锦州）有限公司 (Chinese),Bohai Cement Jinzhou Co Ltd [100.0%],China;,Liaoning,operating,,0.008,>0,>0,n/a,n/a,41.049244,120.975971,41.049244,120.975971,https://www.gem.wiki/Bohai_Cement_Jinzhou_Co_Ltd_Cement_Plant,n/a,"Liaoning, China",0.008,0.008,n/a,unknown,n/a,,渤海水泥（锦州）有限公司 (Chinese) [100%],exact,Bohai Cement Jinzhou Co Ltd Cement Plant,Bohai Cement Jinzhou Co Ltd [100.0%],grinding,0.008,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123741,Changle Shanshui Cement Co Ltd Cement Plant,昌乐山水水泥有限公司 (Chinese),Changle Shanshui Cement Co Ltd [100.0%],China;,Shandong,operating,2003,1,1,1,0.91,dry,36.700608,118.896355,36.700608,118.896355,https://www.gem.wiki/Changle_Shanshui_Cement_Co_Ltd_Cement_Plant,no,"Shandong, China",1,1,no,opc,no,grey,昌乐山水水泥有限公司 (Chinese) [100%],exact,Changle Shanshui Cement Co Ltd Cement Plant,Changle Shanshui Cement Co Ltd [100.0%],integrated,1.0,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123742,Gucheng Shanshui Cement Co Ltd Cement Plant,故城山水水泥有限公司 (Chinese),Gucheng Shanshui Cement Co Ltd [100.0%],China;,Hebei,operating,,2,2,2,n/a,n/a,37.435592,116.222427,37.435592,116.222427,https://www.gem.wiki/Gucheng_Shanshui_Cement_Co_Ltd_Cement_Plant,n/a,"Hebei, China",2,2,n/a,opc,n/a,grey,故城山水水泥有限公司 (Chinese) [100%],exact,Gucheng Shanshui Cement Co Ltd Cement Plant,Gucheng Shanshui Cement Co Ltd [100.0%],grinding,2.0,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123743,Liaocheng Shanshui Cement Co Ltd Cement Plant,聊城山水水泥有限公司 (Chinese),Liaocheng Shanshui Cement Co Ltd [100.0%],China;,Shandong,operating,,2.3,2.3,2.3,n/a,n/a,36.486607,115.835416,36.486607,115.835416,https://www.gem.wiki/Liaocheng_Shanshui_Cement_Co_Ltd_Cement_Plant,n/a,"Shandong, China",2.3,2.3,n/a,unknown,n/a,,聊城山水水泥有限公司 (Chinese) [100%],exact,Liaocheng Shanshui Cement Co Ltd Cement Plant,Liaocheng Shanshui Cement Co Ltd [100.0%],grinding,2.3,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123744,Qingdao Shanshui Hengtai Cement Co Ltd Cement Plant,青岛山水恒泰水泥有限公司 (Chinese),Qingdao Shanshui Hengtai Cement Co Ltd [100.0%],China;,Shandong,operating,,0.8,0.8,0.8,n/a,n/a,36.817228,120.518239,36.817228,120.518239,https://www.gem.wiki/Qingdao_Shanshui_Hengtai_Cement_Co_Ltd_Cement_Plant,n/a,"Shandong, China",0.8,0.8,n/a,unknown,n/a,,青岛山水恒泰水泥有限公司 (Chinese) [100%],exact,Qingdao Shanshui Hengtai Cement Co Ltd Cement Plant,Qingdao Shanshui Hengtai Cement Co Ltd [100.0%],grinding,0.8,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123745,Sichuan Esheng Cement Group Co Ltd Cement Plant,四川峨胜水泥集团股份有限公司九里厂区 (Chinese),Sichuan Esheng Cement Group [100.0%],China;,Sichuan,operating,,12,12,12,>0,dry,29.500886,103.486006,29.500886,103.486006,https://www.gem.wiki/Sichuan_Esheng_Cement_Group_Co_Ltd_Cement_Plant,no,"Sichuan, China",12,12,no,opc,no,grey,四川峨胜水泥集团股份有限公司九里厂区 (Chinese) [100%],exact,Sichuan Esheng Cement Group Co Ltd Cement Plant,Sichuan Esheng Cement Group [100.0%],integrated,12.0,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123746,Emeishan SW. Cement Co Ltd Cement Plant,四川峨眉山西南水泥有限公司 (Chinese),Emeishan SW. Cement Co Ltd [100.0%],China;,Sichuan,operating,,0.91,0.91,0.91,1.64,dry,29.476399,103.533149,29.476399,103.533149,https://www.gem.wiki/Emeishan_SW._Cement_Co_Ltd_Cement_Plant,no,"Sichuan, China",0.91,0.91,no,unknown,no,,四川峨眉山西南水泥有限公司 (Chinese) [100%],exact,Emeishan SW. Cement Co Ltd Cement Plant,Emeishan SW. Cement Co Ltd [100.0%],integrated,0.91,operating,GCCT,GCCT,Cement and Concrete,n/a
