ceads_city_id,city_name_zh,city_name_clean_zh,year,emissions_mtco2,join_status,source
浙江宁波2019,浙江宁波,浙江宁波,2019,127.63133397164377,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
浙江杭州2019,浙江杭州,浙江杭州,2019,44.62295239908468,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
浙江温州2019,浙江温州,浙江温州,2019,31.301584116691775,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
浙江湖州2019,浙江湖州,浙江湖州,2019,20.944634448670683,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
浙江绍兴2019,浙江绍兴,浙江绍兴,2019,38.47189123028877,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
浙江舟山2019,浙江舟山,浙江舟山,2019,28.455712189409976,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
浙江衢州2019,浙江衢州,浙江衢州,2019,27.995763117891915,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
安徽亳州2019,安徽亳州,安徽亳州,2019,12.433865494714487,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
安徽六安2019,安徽六安,安徽六安,2019,11.144814558890719,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
安徽合肥2019,安徽合肥,安徽合肥,2019,39.79164915550306,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
安徽安庆2019,安徽安庆,安徽安庆,2019,30.42722139398105,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
安徽宣城2019,安徽宣城,安徽宣城,2019,18.588764329495294,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
安徽宿州2019,安徽宿州,安徽宿州,2019,24.518159008655406,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
安徽池州2019,安徽池州,安徽池州,2019,15.170234740494973,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
安徽淮北2019,安徽淮北,安徽淮北,2019,60.64498187690329,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
安徽滁州2019,安徽滁州,安徽滁州,2019,14.110510936525484,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
安徽芜湖2019,安徽芜湖,安徽芜湖,2019,37.27410956980402,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
安徽蚌埠2019,安徽蚌埠,安徽蚌埠,2019,17.450045603774146,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
安徽铜陵2019,安徽铜陵,安徽铜陵,2019,15.470414351336178,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
安徽阜阳2019,安徽阜阳,安徽阜阳,2019,23.066315008435147,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
安徽马鞍山2019,安徽马鞍山,安徽马鞍山,2019,95.50406846180266,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
安徽黄山2019,安徽黄山,安徽黄山,2019,1.804391316821562,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
福建三明2019,福建三明,福建三明,2019,35.62861251771065,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
