sector,subsector,source_id,source_name,source_type,year,lat,lon,gas,emissions_tco2,activity_sum,activity_units,capacity,capacity_units,rows
manufacturing,aluminum,3673006,Baotou Shi aluminium plant,Smelting,2024,40.592408,109.798065,co2,2868936.4528611237,1147574.58114445,t of alumina/aluminum,114344.26229508196,t of alumina/aluminum,12
manufacturing,aluminum,3673006,Baotou Shi aluminium plant,Smelting,2025,40.592408,109.798065,co2,2895383.3479955937,1158153.3391982375,t of alumina/aluminum,114657.53424657533,t of alumina/aluminum,12
manufacturing,aluminum,3673006,Baotou Shi aluminium plant,Smelting,2026,40.592408,109.798065,co2,249496.96431779765,99798.78572711906,t of alumina/aluminum,114657.53424657533,t of alumina/aluminum,1
manufacturing,aluminum,3673001,"Baotou, Inner Mongolia aluminium plant",Smelting,2021,40.567036,110.12536,co2,1570810.0532385197,628324.021295408,t of alumina/aluminum,73041.09589041096,t of alumina/aluminum,12
manufacturing,aluminum,3673001,"Baotou, Inner Mongolia aluminium plant",Smelting,2022,40.567036,110.12536,co2,1988436.4634564794,795374.5853825919,t of alumina/aluminum,73041.09589041096,t of alumina/aluminum,12
manufacturing,aluminum,3673001,"Baotou, Inner Mongolia aluminium plant",Smelting,2023,40.567036,110.12536,co2,1929814.8916674235,771925.9566669696,t of alumina/aluminum,73041.09589041096,t of alumina/aluminum,12
manufacturing,aluminum,3673001,"Baotou, Inner Mongolia aluminium plant",Smelting,2024,40.567036,110.12536,co2,1827618.7773781978,731047.5109512792,t of alumina/aluminum,72841.53005464481,t of alumina/aluminum,12
manufacturing,aluminum,3673001,"Baotou, Inner Mongolia aluminium plant",Smelting,2025,40.567036,110.12536,co2,1844466.4290934894,737786.5716373957,t of alumina/aluminum,73041.09589041096,t of alumina/aluminum,12
manufacturing,aluminum,3673001,"Baotou, Inner Mongolia aluminium plant",Smelting,2026,40.567036,110.12536,co2,158938.80689874518,63575.522759498075,t of alumina/aluminum,73041.09589041096,t of alumina/aluminum,1
manufacturing,aluminum,48193111,Binzhou Prefecture,Refinery,2021,37.6135928249813,117.878839573766,co2,7984773.4568392,3169480.0481199925,t of alumina/aluminum,327830.50290020776,t of alumina/aluminum,12
manufacturing,aluminum,48193111,Binzhou Prefecture,Refinery,2022,37.6135928249813,117.878839573766,co2,7784994.587768758,3388528.3984744935,t of alumina/aluminum,338836.67147375713,t of alumina/aluminum,12
manufacturing,aluminum,48193111,Binzhou Prefecture,Refinery,2023,37.6135928249813,117.878839573766,co2,6151056.386052651,3510568.8909365474,t of alumina/aluminum,345491.56409962423,t of alumina/aluminum,12
manufacturing,aluminum,48193111,Binzhou Prefecture,Refinery,2024,37.6135928249813,117.878839573766,co2,6190598.2117791595,3650116.870152806,t of alumina/aluminum,356000.118607586,t of alumina/aluminum,12
manufacturing,aluminum,48193111,Binzhou Prefecture,Refinery,2025,37.6135928249813,117.878839573766,co2,6766306.625099182,3989567.585553763,t of alumina/aluminum,409352.9375670792,t of alumina/aluminum,12
manufacturing,aluminum,48193111,Binzhou Prefecture,Refinery,2026,37.6135928249813,117.878839573766,co2,577636.1784658473,340587.3693784477,t of alumina/aluminum,425734.2117230596,t of alumina/aluminum,1
manufacturing,aluminum,48193115,Chengdu Prefecture City,Refinery,2021,30.6654050492254,103.844870347936,co2,11977.160185258803,4754.22007217999,t of alumina/aluminum,491.74575435031164,t of alumina/aluminum,12
manufacturing,aluminum,48193115,Chengdu Prefecture City,Refinery,2022,30.6654050492254,103.844870347936,co2,11677.491881653135,5082.792597711741,t of alumina/aluminum,508.25500721063565,t of alumina/aluminum,12
manufacturing,aluminum,48193115,Chengdu Prefecture City,Refinery,2023,30.6654050492254,103.844870347936,co2,9226.584579078977,5265.853336404822,t of alumina/aluminum,518.2373461494362,t of alumina/aluminum,12
manufacturing,aluminum,48193115,Chengdu Prefecture City,Refinery,2024,30.6654050492254,103.844870347936,co2,9285.897317668741,5475.175305229211,t of alumina/aluminum,534.0001779113792,t of alumina/aluminum,12
manufacturing,aluminum,48193115,Chengdu Prefecture City,Refinery,2025,30.6654050492254,103.844870347936,co2,10149.459937648775,5984.351378330645,t of alumina/aluminum,614.0294063506187,t of alumina/aluminum,12
manufacturing,aluminum,48193115,Chengdu Prefecture City,Refinery,2026,30.6654050492254,103.844870347936,co2,866.454267698771,510.8810540676716,t of alumina/aluminum,638.6013175845894,t of alumina/aluminum,1
manufacturing,aluminum,3673002,Chiping Shandong aluminium plant,Smelting,2021,36.5865512,116.2406737,co2,2465806.478920932,986322.5915683728,t of alumina/aluminum,114657.53424657533,t of alumina/aluminum,12
manufacturing,aluminum,3673002,Chiping Shandong aluminium plant,Smelting,2022,36.5865512,116.2406737,co2,3121382.820542148,1248553.1282168592,t of alumina/aluminum,114657.53424657533,t of alumina/aluminum,12
manufacturing,aluminum,3673002,Chiping Shandong aluminium plant,Smelting,2023,36.5865512,116.2406737,co2,3029360.5857570022,1211744.2343028008,t of alumina/aluminum,114657.53424657533,t of alumina/aluminum,12
