source_dataset,id,pid,name,unit-name,noneng-name,owner,parent,areas,subnat,status,start-year,capacity,annual-co2-(million-tonnes-/-annum),lifetime-co2-(million-tonnes),capacity-factor,heat-rate-(btu-per-kwh),emission-factor-(kg-of-co2-per-tj),latitude,longitude,url,alternate-fuel,areas-subnat-sat-display,capacity-details,capacity-table,captive,captive-industry-use,captive-residential-use,china-capacity-payment-recipient,chp,cleaned-cap,coal-phaseout-year,coal-source,coal-type,combustion-technology,conversion-factor,conversion-to-(fuel),conversion-to-(gem-unit-id),count-of-semi,country-to-check,float-col-clean-lat,float-col-clean-lng,"local-area-(taluk,-county)",location,location-accuracy,"major-area-(prefecture,-district)",multi-country,name-search,net-zero-year,original-units,other-name,owner-gem-entity-id,owner-search,parent-gem-entity-id,parent-search,permit-date,permit-parsed,permits,planned-retirement,plant-age-(years),region,remaining-plant-lifetime-(years),retired-year,scaling-capacity,status-legend,subregion,tracker-acro,tracker-custom,tracker-display,tracker-legend,units-of-m,wiki-from-name
coal,G100000104679,L100000100383,Huaqing IGCC power station,Unit 2,粤电华清煤气化联合循环发电项目,Guangdong Yuedian Huaqing Coal Gasification Combined Cycle Power Generation Co Ltd [100%],Guangdong Electric Power Development Co Ltd [33.2%]; State Power Investment Corp Ltd [25.1%]; Guangdong Hengjian Investment Holding Co Ltd [24.2%]; China Huaneng Group Co Ltd [7.6%]; Shanghai Electric Corp [4.2%]; Dongfang Electric Corp Ltd [2.9%]; Harbin Electric Co Ltd [2.9%],China;,Guangdong,cancelled,,400,0.0,0.0,0.0,8281,96100,22.25501,113.068334,https://www.gem.wiki/Huaqing_IGCC_power_station,,"Guangdong, China",400.0,400.0,,,,,,400.0,,,unknown,IGCC,55.48,,,['China'],['China'],22.25501,113.068334,Xinhui,West Bank of Yinzhou Lake,exact,Jiangmen,f,Huaqing IGCC power station,2060,MW,,E100000121778 [100%],Guangdong Yuedian Huaqing Coal Gasification Combined Cycle Power Generation Co Ltd [100%],E100000000192 [33.2%]; E100000000273 [25.1%]; E100000000194 [24.2%]; E100000000171 [7.6%]; E100000125006 [4.2%]; E100000124405 [2.9%]; E100000124191 [2.9%],Guangdong Electric Power Development Co Ltd [33.2%]; State Power Investment Corp Ltd [25.1%]; Guangdong Hengjian Investment Holding Co Ltd [24.2%]; China Huaneng Group Co Ltd [7.6%]; Shanghai Electric Corp [4.2%]; Dongfang Electric Corp Ltd [2.9%]; Harbin Electric Co Ltd [2.9%],,,,,0,Asia,0,,22192.0,cancelled,Eastern Asia,GCPT,GCPT,coal power station,coal-power-station,MW,https://www.gem.wiki/Huaqing_IGCC_power_station
coal,G100000104680,L100000100383,Huaqing IGCC power station,Unit 3,粤电华清煤气化联合循环发电项目,Guangdong Yuedian Huaqing Coal Gasification Combined Cycle Power Generation Co Ltd [100%],Guangdong Electric Power Development Co Ltd [33.2%]; State Power Investment Corp Ltd [25.1%]; Guangdong Hengjian Investment Holding Co Ltd [24.2%]; China Huaneng Group Co Ltd [7.6%]; Shanghai Electric Corp [4.2%]; Dongfang Electric Corp Ltd [2.9%]; Harbin Electric Co Ltd [2.9%],China;,Guangdong,cancelled,,400,0.0,0.0,0.0,8281,96100,22.25501,113.068334,https://www.gem.wiki/Huaqing_IGCC_power_station,,"Guangdong, China",400.0,400.0,,,,,,400.0,,,unknown,IGCC,55.48,,,['China'],['China'],22.25501,113.068334,Xinhui,West Bank of Yinzhou Lake,exact,Jiangmen,f,Huaqing IGCC power station,2060,MW,,E100000121778 [100%],Guangdong Yuedian Huaqing Coal Gasification Combined Cycle Power Generation Co Ltd [100%],E100000000192 [33.2%]; E100000000273 [25.1%]; E100000000194 [24.2%]; E100000000171 [7.6%]; E100000125006 [4.2%]; E100000124405 [2.9%]; E100000124191 [2.9%],Guangdong Electric Power Development Co Ltd [33.2%]; State Power Investment Corp Ltd [25.1%]; Guangdong Hengjian Investment Holding Co Ltd [24.2%]; China Huaneng Group Co Ltd [7.6%]; Shanghai Electric Corp [4.2%]; Dongfang Electric Corp Ltd [2.9%]; Harbin Electric Co Ltd [2.9%],,,,,0,Asia,0,,22192.0,cancelled,Eastern Asia,GCPT,GCPT,coal power station,coal-power-station,MW,https://www.gem.wiki/Huaqing_IGCC_power_station
coal,G100000104681,L100000100383,Huaqing IGCC power station,Unit 4,粤电华清煤气化联合循环发电项目,Guangdong Yuedian Huaqing Coal Gasification Combined Cycle Power Generation Co Ltd [100%],Guangdong Electric Power Development Co Ltd [33.2%]; State Power Investment Corp Ltd [25.1%]; Guangdong Hengjian Investment Holding Co Ltd [24.2%]; China Huaneng Group Co Ltd [7.6%]; Shanghai Electric Corp [4.2%]; Dongfang Electric Corp Ltd [2.9%]; Harbin Electric Co Ltd [2.9%],China;,Guangdong,cancelled,,400,0.0,0.0,0.0,8281,96100,22.25501,113.068334,https://www.gem.wiki/Huaqing_IGCC_power_station,,"Guangdong, China",400.0,400.0,,,,,,400.0,,,unknown,IGCC,55.48,,,['China'],['China'],22.25501,113.068334,Xinhui,West Bank of Yinzhou Lake,exact,Jiangmen,f,Huaqing IGCC power station,2060,MW,,E100000121778 [100%],Guangdong Yuedian Huaqing Coal Gasification Combined Cycle Power Generation Co Ltd [100%],E100000000192 [33.2%]; E100000000273 [25.1%]; E100000000194 [24.2%]; E100000000171 [7.6%]; E100000125006 [4.2%]; E100000124405 [2.9%]; E100000124191 [2.9%],Guangdong Electric Power Development Co Ltd [33.2%]; State Power Investment Corp Ltd [25.1%]; Guangdong Hengjian Investment Holding Co Ltd [24.2%]; China Huaneng Group Co Ltd [7.6%]; Shanghai Electric Corp [4.2%]; Dongfang Electric Corp Ltd [2.9%]; Harbin Electric Co Ltd [2.9%],,,,,0,Asia,0,,22192.0,cancelled,Eastern Asia,GCPT,GCPT,coal power station,coal-power-station,MW,https://www.gem.wiki/Huaqing_IGCC_power_station
coal,G100000114728,L100000104738,Huar Cogen power station,Unit 1,哈尔滨投资集团华尔热电厂,Harbin Zhengye Thermal Power Co Ltd [100%],Harbin Hatou Investment Co Ltd [100.0%],China;,Heilongjiang,shelved,,80,0.4,13.9,0.54,10326,96100,45.751291,126.729971,https://www.gem.wiki/Huar_Cogen_power_station,,"Heilongjiang, China",80.0,80.0,,,,,yes,80.0,,,unknown,unknown,55.48,,,['China'],['China'],45.751291,126.729971,Xiangfang,,exact,Harbin,f,Huar Cogen power station,2060,MW,,E100000121997 [100%],Harbin Zhengye Thermal Power Co Ltd [100%],E100000123539 [100.0%],Harbin Hatou Investment Co Ltd [100.0%],30-Dec-19,"Year: 2019, Month: 12, Day: 30",30-Dec-19,,0,Asia,35,,4438.4,shelved,Eastern Asia,GCPT,GCPT,coal power station,coal-power-station,MW,https://www.gem.wiki/Huar_Cogen_power_station
coal,G100000114729,L100000104738,Huar Cogen power station,Unit 2,哈尔滨投资集团华尔热电厂,Harbin Zhengye Thermal Power Co Ltd [100%],Harbin Hatou Investment Co Ltd [100.0%],China;,Heilongjiang,shelved,,80,0.4,13.9,0.54,10326,96100,45.751291,126.729971,https://www.gem.wiki/Huar_Cogen_power_station,,"Heilongjiang, China",80.0,80.0,,,,,yes,80.0,,,unknown,unknown,55.48,,,['China'],['China'],45.751291,126.729971,Xiangfang,,exact,Harbin,f,Huar Cogen power station,2060,MW,,E100000121997 [100%],Harbin Zhengye Thermal Power Co Ltd [100%],E100000123539 [100.0%],Harbin Hatou Investment Co Ltd [100.0%],30-Dec-19,"Year: 2019, Month: 12, Day: 30",30-Dec-19,,0,Asia,35,,4438.4,shelved,Eastern Asia,GCPT,GCPT,coal power station,coal-power-station,MW,https://www.gem.wiki/Huar_Cogen_power_station
coal,G100000104686,L100000101483,Huarui Jiaokou power station,Unit 1,华瑞煤业交口低热值煤电厂,Shanxi Huarui Coal Industry Co Ltd [100%],China Century Holdings Co Ltd [71.4%]; Huarui Energy (Hong Kong) Investment [28.6%],China;,Shanxi,cancelled,,350,0.0,0.0,0.0,9250,94600,37.007522,111.45062,https://www.gem.wiki/Huarui_Jiaokou_power_station,,"Shanxi, China",350.0,350.0,other metals & mining,,,,,350.0,,,waste coal,supercritical,55.48,,,['China'],['China'],37.007522,111.45062,Jiaokou,Taohongpo Town,exact,Lüliang,f,Huarui Jiaokou power station,2060,MW,,E100000122920 [100%],Shanxi Huarui Coal Industry Co Ltd [100%],E100000125057 [71.4%]; E100000125855 [28.6%],China Century Holdings Co Ltd [71.4%]; Huarui Energy (Hong Kong) Investment [28.6%],,,,,0,Asia,0,,19418.0,cancelled,Eastern Asia,GCPT,GCPT,coal power station,coal-power-station,MW,https://www.gem.wiki/Huarui_Jiaokou_power_station
coal,G100000104687,L100000101483,Huarui Jiaokou power station,Unit 2,华瑞煤业交口低热值煤电厂,Shanxi Huarui Coal Industry Co Ltd [100%],China Century Holdings Co Ltd [71.4%]; Huarui Energy (Hong Kong) Investment [28.6%],China;,Shanxi,cancelled,,350,0.0,0.0,0.0,9250,94600,37.007522,111.45062,https://www.gem.wiki/Huarui_Jiaokou_power_station,,"Shanxi, China",350.0,350.0,other metals & mining,,,,,350.0,,,waste coal,supercritical,55.48,,,['China'],['China'],37.007522,111.45062,Jiaokou,Taohongpo Town,exact,Lüliang,f,Huarui Jiaokou power station,2060,MW,,E100000122920 [100%],Shanxi Huarui Coal Industry Co Ltd [100%],E100000125057 [71.4%]; E100000125855 [28.6%],China Century Holdings Co Ltd [71.4%]; Huarui Energy (Hong Kong) Investment [28.6%],,,,,0,Asia,0,,19418.0,cancelled,Eastern Asia,GCPT,GCPT,coal power station,coal-power-station,MW,https://www.gem.wiki/Huarui_Jiaokou_power_station
coal,G100000112658,L100000101358,Huasheng Jiangquan cogen power station,Unit 1,"临沂恒新能源集团恒新能源2×35万千瓦热电联产项目, 华盛江泉罗庄热电联产项目",Shandong Huasheng Jiangquan Thermoelectricity Co Ltd [100%],Huasheng Jiangquan Group Co Ltd [95.0%]; natural person(s) [5.0%],China;,Shandong,operating,2025,350,1.5,53.5,0.54,9250,94600,34.945412,118.313026,https://www.gem.wiki/Huasheng_Jiangquan_cogen_power_station,,"Shandong, China",350.0,350.0,,,,,yes,350.0,,大同矿区山西中煤杨涧煤业有限公司和大同煤矿集团轩岗煤电有限责任公司提供,waste coal,supercritical,55.48,,,['China'],['China'],34.945412,118.313026,Luozhuang District,Xishantou Village,exact,Linyi,f,Huasheng Jiangquan cogen power station,2060,MW,,E100000122750 [100%],Shandong Huasheng Jiangquan Thermoelectricity Co Ltd [100%],E100000123768 [95.0%]; E100000123261 [5.0%],Huasheng Jiangquan Group Co Ltd [95.0%]; natural person(s) [5.0%],17-Jan-17,"Year: 2017, Month: 1, Day: 17","January 17, 2017 – 鲁发改能源〔2017〕51号",,0,Asia,35,,19418.0,operating,Eastern Asia,GCPT,GCPT,coal power station,coal-power-station,MW,https://www.gem.wiki/Huasheng_Jiangquan_cogen_power_station
coal,G100000112657,L100000101358,Huasheng Jiangquan cogen power station,Unit 2,"临沂恒新能源集团恒新能源2×35万千瓦热电联产项目, 华盛江泉罗庄热电联产项目",Shandong Huasheng Jiangquan Thermoelectricity Co Ltd [100%],Huasheng Jiangquan Group Co Ltd [95.0%]; natural person(s) [5.0%],China;,Shandong,operating,2025,350,1.5,53.5,0.54,9250,94600,34.945412,118.313026,https://www.gem.wiki/Huasheng_Jiangquan_cogen_power_station,,"Shandong, China",350.0,350.0,,,,,yes,350.0,,大同矿区山西中煤杨涧煤业有限公司和大同煤矿集团轩岗煤电有限责任公司提供,waste coal,supercritical,55.48,,,['China'],['China'],34.945412,118.313026,Luozhuang District,Xishantou Village,exact,Linyi,f,Huasheng Jiangquan cogen power station,2060,MW,,E100000122750 [100%],Shandong Huasheng Jiangquan Thermoelectricity Co Ltd [100%],E100000123768 [95.0%]; E100000123261 [5.0%],Huasheng Jiangquan Group Co Ltd [95.0%]; natural person(s) [5.0%],17-Jan-17,"Year: 2017, Month: 1, Day: 17",17-Jan-17,,0,Asia,35,,19418.0,operating,Eastern Asia,GCPT,GCPT,coal power station,coal-power-station,MW,https://www.gem.wiki/Huasheng_Jiangquan_cogen_power_station
coal,G100000104695,L100000101653,Huawei Hetian power station,Phase II Unit 3,华威和田热电,Huawei Hotan Power Generation Co Ltd [100%],Beijing Zhongkai Chuangwei Investment Co Ltd [52.2%]; Beijing Huafei Investment Co Ltd [23.8%]; Guangdong Yusheng Investment Development Co Ltd [14.0%]; Beijing Boguangda Information Consulting Co Ltd [5.0%]; Beijing Huawei Investment Co Ltd [5.0%],China;,Xinjiang,cancelled,,300,0.0,0.0,0.0,9466,96100,37.167593,79.905582,https://www.gem.wiki/Huawei_Hetian_power_station,,"Xinjiang, China",300.0,300.0,,,,,yes,300.0,,,unknown,unknown,55.48,,,['China'],['China'],37.167593,79.905582,Hotan,Hetian City,exact,Hotan,f,Huawei Hetian power station,2060,MW,,E100000123084 [100%],Huawei Hotan Power Generation Co Ltd [100%],E100000124446 [52.2%]; E100000124447 [23.8%]; E100000125032 [14.0%]; E100000125033 [5.0%]; E100000123430 [5.0%],Beijing Zhongkai Chuangwei Investment Co Ltd [52.2%]; Beijing Huafei Investment Co Ltd [23.8%]; Guangdong Yusheng Investment Development Co Ltd [14.0%]; Beijing Boguangda Information Consulting Co Ltd [5.0%]; Beijing Huawei Investment Co Ltd [5.0%],,,,,0,Asia,0,,16644.0,cancelled,Eastern Asia,GCPT,GCPT,coal power station,coal-power-station,MW,https://www.gem.wiki/Huawei_Hetian_power_station
