Year,Pro_code,Pro_name_CN,Pro_name_EN,PI_all_province,PI_all_province_CR,PI_all_province_EC,PI_all_province_CU,PI_all_province_Tech,PI_all_province_CC,PI_all_province_MB,PI_all_province_CM
2020,63,青海省,Qinghai,10,10,0,0,0,4,6,0
2021,63,青海省,Qinghai,46,9,12,10,15,14,26,6
2022,63,青海省,Qinghai,72.5,26,19.5,0,27,41.5,19,12
2007,64,宁夏回族自治区,Ningxia,88,0,48,36,4,38.5,36,13.5
2008,64,宁夏回族自治区,Ningxia,36.5,0,34.5,2,0,22.5,12.5,1.5
2009,64,宁夏回族自治区,Ningxia,100.75,0,78.75,20,2,19.5,49.75,31.5
2010,64,宁夏回族自治区,Ningxia,34.5,3,13.5,16,2,28,6.5,0
2011,64,宁夏回族自治区,Ningxia,133,69,54,10,0,110.5,9.75,12.75
2012,64,宁夏回族自治区,Ningxia,95.5,36,40.5,2,17,47.75,38.25,9.5
2013,64,宁夏回族自治区,Ningxia,76.5,4,46.5,24,2,60,13.5,3
2014,64,宁夏回族自治区,Ningxia,52.25,6,32.25,14,0,24.75,27.5,0
2015,64,宁夏回族自治区,Ningxia,35,18,9,2,6,33,2,0
2016,64,宁夏回族自治区,Ningxia,123.75,50,30.75,10,33,21.5,67,35.25
2017,64,宁夏回族自治区,Ningxia,47.5,24,10.5,0,13,10.5,33,4
2018,64,宁夏回族自治区,Ningxia,18,10,0,8,0,18,0,0
2019,64,宁夏回族自治区,Ningxia,29,12,6,11,0,21,6,2
2020,64,宁夏回族自治区,Ningxia,11,2,9,0,0,8,3,0
2021,64,宁夏回族自治区,Ningxia,62,25,18,6,13,14,42,6
2022,64,宁夏回族自治区,Ningxia,82.5,32,19.5,0,31,45,19.5,18
2007,65,新疆维吾尔自治区,Xinjiang,44.5,0,28.5,12,4,18,14.5,12
2008,65,新疆维吾尔自治区,Xinjiang,8.5,0,4.5,4,0,4.5,4,0
2009,65,新疆维吾尔自治区,Xinjiang,69.75,0,57.75,12,0,25.5,17.25,27
2010,65,新疆维吾尔自治区,Xinjiang,29,5,12,12,0,24,3,2
2011,65,新疆维吾尔自治区,Xinjiang,132,69,51,6,6,108,11.25,12.75
2012,65,新疆维吾尔自治区,Xinjiang,79.5,36,28.5,0,15,35.25,44.25,0
2013,65,新疆维吾尔自治区,Xinjiang,82.5,0,58.5,18,6,67.5,10.5,4.5
2014,65,新疆维吾尔自治区,Xinjiang,8.75,0,6.75,2,0,8.75,0,0
2015,65,新疆维吾尔自治区,Xinjiang,33,18,15,0,0,27,6,0
2016,65,新疆维吾尔自治区,Xinjiang,111.25,44,32.25,6,29,19,57,35.25
2017,65,新疆维吾尔自治区,Xinjiang,71,46,12,4,9,7,38,26
2018,65,新疆维吾尔自治区,Xinjiang,9,0,3,6,0,7.5,1.5,0
2019,65,新疆维吾尔自治区,Xinjiang,21,12,0,9,0,18,3,0
2020,65,新疆维吾尔自治区,Xinjiang,4,4,0,0,0,0,4,0
2021,65,新疆维吾尔自治区,Xinjiang,22.5,3,4.5,6,9,6,16.5,0
2022,65,新疆维吾尔自治区,Xinjiang,60.5,18,13.5,0,29,36,12.5,12
