market,date,open_cny_per_tco2,high_cny_per_tco2,low_cny_per_tco2,close_or_avg_cny_per_tco2,change_percent,volume_tonnes,amount_cny,source
CEA,2026-04-24,77.50,78.00,77.50,77.59,1.80,,,Shanghai Environment and Energy Exchange via ccn.ac.cn/cets
CCER,2026-04-24,,,,83.46,3.97,20500,1711000.00,Beijing Green Exchange via ccn.ac.cn/cets
