entity_type,entity_id,latitude,longitude,prefecture_code,prefecture_name,province_code,province_name,boundary_level,join_method,fallback_distance_km,boundary_source,evidence_grade
source,CT_1566507,21.6840527936968,108.409613245159,450600,防城港市,450000,广西壮族自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451572,34.4964,107.2192,610300,宝鸡市,610000,陕西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455961,39.9242,113.0851,140200,大同市,140000,山西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452780,21.3132,110.4095,440800,湛江市,440000,广东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452965,27.9957,120.8359,330300,温州市,330000,浙江省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453514,23.0048,116.5472,445200,揭阳市,440000,广东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452019,36.1343,117.685,370100,济南市,370000,山东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566756,39.6590676768483,118.895271959317,130300,秦皇岛市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453560,26.7574,119.7354,350900,宁德市,350000,福建省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566611,40.3128472773855,122.12967812922,210800,营口市,210000,辽宁省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566623,35.613507325744,110.574570059455,610500,渭南市,610000,陕西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453794,32.758,116.65,340400,淮南市,340000,安徽省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451532,40.5197,112.6677,150900,乌兰察布市,150000,内蒙古自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453996,32.7844,117.1147,340300,蚌埠市,340000,安徽省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_451089,25.9244,115.1028,360700,赣州市,360000,江西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455926,36.3311,113.1022,140400,长治市,140000,山西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453351,38.5122,114.8434,130600,保定市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566516,39.9772379051758,118.562203723589,130200,唐山市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455150,39.551,112.4887,140600,朔州市,140000,山西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_451854,45.4098,119.5967,150500,通辽市,150000,内蒙古自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453201,39.3831,111.1843,140900,忻州市,140000,山西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453548,34.5779,119.1267,320700,连云港市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453267,38.31,117.8786,130900,沧州市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454219,31.5877,121.2563,320500,苏州市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_453137,34.5,113.598,410100,郑州市,410000,河南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452703,35.5017,106.7861,620800,平凉市,620000,甘肃省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566572,27.8184553227856,112.896396467957,430300,湘潭市,430000,湖南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
