change,locode,name,name_wo_diacritics,subdivision,function,status,date,iata,coordinates,remarks,latitude,longitude,is_water_port
,CNXIJ,Xijiang,Xijiang,GX,1-------,RL,1401,,2117N 11452E,,21.283333,114.866667,1
,CNILI,Xili,Xili,35,-----6--,RL,0901,,2645N 11721E,,26.750000,117.350000,0
,CNXLS,Xiliangshan,Xiliangshan,AH,1-------,RL,1401,,,,,,1
,CNXHT,Xilin Hot,Xilin Hot,NM,1-------,RL,1401,,4358N 11602E,,43.966667,116.033333,1
,CNXLU,Xiluzhen,Xiluzhen,GD,--3--6--,RL,0607,,2323N 11630E,,23.383333,116.500000,0
,CNSHX,Xinan,Xinan,GD,1-------,AS,1601,,,,,,1
,CNXJG,Xinanjiang,Xinanjiang,33,--3-----,RL,0901,,2929N 11913E,,29.483333,119.216667,0
,CNXXI,Xinchang,Xinchang,ZJ,--3-----,RL,1401,,2929N 12054E,,29.483333,120.900000,0
,CNXCH,Xincheng,Xincheng,GD,--3-----,RL,1401,,,,,,0
,CNLSX,Xincun,Xincun,SD,1-------,AS,1407,,1830N 11001E,,18.500000,110.016667,1
,CNXID,Xindi,Xindi,HB,1-------,RL,1401,,,,,,1
,CNXDI,Xindian,Xindian,HL,1-------,RL,1401,,,,,,1
,CNXDU,Xindu,Xindu,GX,1-------,RL,1401,,,,,,1
,CNXAB,Xinfeng,Xinfeng,GD,-23-----,RL,0907,,,,,,0
,CNXIP,Xingang,Xingang,AH,1-------,RL,1401,,,,,,1
,CNXGA,Xingang,Xingang,GD,1-------,AS,1601,,2302N 11306E,,23.033333,113.100000,1
,CNXEN,Xingcheng,Xingcheng,LN,---4----,RL,1401,,,,,,0
,CNXCE,Xingcheng,Xingcheng,LN,1-------,RL,1401,,,,,,1
,CNXGD,Xingdong,Xingdong,HL,1-3--6-B,RL,0501,,4755N 13051E,,47.916667,130.850000,1
,CNXNF,Xingfeng,Xingfeng,62,--3-----,RL,0901,,3452N 10550E,,34.866667,105.833333,0
,CNXLN,Xinglin,Xinglin,35,--3-----,RL,0901,,2434N 11803E,,24.566667,118.050000,0
,CNXPI,Xingping,Xingping,14,-----6--,RL,0901,,3417N 10829E,,34.283333,108.483333,0
,CNXGS,Xingshan,Xingshan,13,--3-----,RL,0901,,3950N 11815E,,39.833333,118.250000,0
,CNXGI,Xingtai,Xingtai,HE,--3-----,AA,2207,,3704N 11431E,,37.066667,114.516667,0
,CNXGT,Xingtan,Xingtan,GD,--3-----,RL,0607,,2246N 11310E,,22.766667,113.166667,0
,CNACX,Xingyi,Xingyi,YN,---4----,RL,0907,,2503N 10459E,,25.050000,104.983333,0
,CNXHK,Xinhekou,Xinhekou,HB,1-------,RL,1401,,,,,,1
,CNXNH,Xinhua,Xinhua,,--3-----,RQ,0901,,,,,,0
,CNDMX,Xinhuan,Xinhuan,GD,1-------,AS,1407,,,,,,1
,CNXIN,Xinhui Pt,Xinhui Pt,GD,1-------,AS,1601,,2232N 11301E,,22.533333,113.016667,1
,CNXNN,Xining,Xining,QH,---4----,AS,2207,,,,,,0
,CNXNT,Xining,Xining,QH,---45---,AS,1601,,3638N 10148E,,36.633333,101.800000,0
,CNXNU,Xiniu,Xiniu,GD,--3--6--,RL,0607,,2409N 11307E,,24.150000,113.116667,0
,CNXNJ,Xinji,Xinji,HE,-23-----,RL,0907,,3754N 11512E,,37.900000,115.200000,0
,CNXIK,Xinkai,Xinkai,HB,1-------,RL,1401,,,,,,1
,CNNNI,Xinning,Xinning,36,--3-----,RL,0901,,2917N 11505E,,29.283333,115.083333,0
,CNXNQ,Xinqiao,Xinqiao,GD,--3-----,RL,1401,,,,,,0
,CNXNA,Xinsha,Xinsha,GD,1-3-----,RL,0401,,2259N 11332E,,22.983333,113.533333,1
,CNXSH,Xinshi,Xinshi,HB,--3-----,RL,0607,,3101N 11306E,,31.016667,113.100000,0
,CNXIT,Xintang Pt,Xintang Pt,GD,1-------,AS,1601,,2307N 11337E,,23.116667,113.616667,1
,CNXXG,Xinxiang,Xinxiang,HA,-23-----,RL,1101,,3518N 11352E,,35.300000,113.866667,0
,CNXNI,Xinxing,Xinxing,JS,1-------,RL,1401,,,,,,1
,CNXNX,Xinxing,Xinxing,44,--3-----,RQ,0901,,2256N 11202E,,22.933333,112.033333,0
,CNCNX,Xinxu,Xinxu,GD,1-------,RL,1401,,,,,,1
,CNING,Xinyang,Xinyang,HA,1-------,RL,1107,,3208N 11403E,,32.133333,114.050000,1
,CNNYI,Xinyi,Xinyi,32,--3-----,RL,0901,,3314N 12036E,,33.233333,120.600000,0
,CNXIY,Xinyi,Xinyi,44,--3-----,RL,0901,,2221N 11056E,,22.350000,110.933333,0
,CNXYI,Xinying,Xinying,HI,1-3-----,RL,1401,,1944N 10917E,,19.733333,109.283333,1
¦,CNXNY,Xinyu,Xinyu,JX,-23--6--,AS,2407,,2748N 11456E,,27.800000,114.933333,0
,CNXUN,Xinyuan,Xinyuan,XJ,--3-----,RL,1401,,4327N 08308E,,43.450000,83.133333,0
,CNXZO,Xinzao,Xinzao,GD,--3--6--,RL,0507,,2302N 11324E,,23.033333,113.400000,0
,CNXNZ,Xinzhou,Xinzhou,HB,--3-----,RQ,0907,,3209N 10958E,,32.150000,109.966667,0
,CNXIQ,Xiqiao,Xiqiao,GD,--3-----,RL,0907,,2256N 11258E,,22.933333,112.966667,0
,CNXQN,"Xiqing , Tianjing","Xiqing , Tianjing",TJ,--3--6--,AA,2301,,3904N 11701E,,39.066667,117.016667,0
,CNXSB,Xishuangbanna,Xishuangbanna,YN,---4----,RL,1401,,,,,,0
,CNJHG,Xishuangbanna Gasa International Apt,Xishuangbanna Gasa International Apt,YN,---4----,AS,1601,,,,,,0
,CNXTO,Xitou,Xitou,GD,1-------,AS,1601,,2139N 11147E,,21.650000,111.783333,1
,CNXUL,Xiulin,Xiulin,HB,1-------,RL,1401,,,,,,1
,CNXYG,Xiuyu Pt,Xiuyu Pt,FJ,1-------,AS,1601,,2514N 11857E,,25.233333,118.950000,1
,CNXXN,Xixiang,Xixiang,SN,0-------,RQ,9705,,,,,,0
¦,CNUAN,Xuancheng,Xuancheng,34,-23--6--,RQ,2407,,3053N 11833E,,30.883333,118.550000,0
,CNXUM,Xuanmen,Xuanmen,ZJ,1-------,RL,1401,,,,,,1
,CNXWI,Xuanwei,Xuanwei,YN,-2------,RL,1401,,,,,,0
¦,CNXUC,Xuchang,Xuchang,HA,--3-----,AA,2407,,3402N 11351E,,34.033333,113.850000,0
,CNXEO,Xueao,Xueao,ZJ,1-------,RL,1401,,,,,,1
,CNXJD,Xuejiadao,Xuejiadao,SD,1-------,RL,1401,,,,,,1
,CNXTZ,Xuetangzhou,Xuetangzhou,HB,1-------,RL,1401,,,,,,1
,CNXUI,Xuhuiqu,Xuhuiqu,SH,--3--6--,RL,1401,,,,,,0
,CNXUK,Xunke,Xunke,HL,1-------,AS,1601,,4933N 12828E,,49.550000,128.466667,1
,CNXZH,Xuzhou,Xuzhou,JS,---4-6--,AS,1407,,,,,,0
,CNXUZ,Xuzhou Guanyin Apt,Xuzhou Guanyin Apt,JS,---4----,AS,1601,,,,,,0
,CNYBG,Yabagou,Yabagou,LN,1-------,AS,1401,,,,,,1
,CNYDZ,Yadong,Yadong,XZ,--3-5---,AS,1601,,2726N 08855E,,27.433333,88.916667,0
,CNENY,Yan'an,Yan'an,SN,-234----,RL,2107,,,,,,0
,CNYBU,Yanbu,Yanbu,GD,-23-----,RL,0607,,2306N 11310E,,23.100000,113.166667,0
,CNYNZ,Yancheng,Yancheng,JS,-234----,AS,2107,,,,,,0
,CNYCN,Yangchun,Yangchun,GD,--3-----,RL,0607,,2210N 11147E,,22.166667,111.783333,0
,CNYJC,Yangjiachang,Yangjiachang,HB,1-------,RL,1401,,,,,,1
,CNYJI,Yangjiang,Yangjiang,GD,123-----,AS,2107,,2150N 11158E,,21.833333,111.966667,1
,CNYGK,Yangkou,Yangkou,SD,1-------,AS,1601,,,,,,1
,CNYKG,Yangkou Pt,Yangkou Pt,JS,1-------,AS,1607,,3233N 12124E,,32.550000,121.400000,1
,CNYLI,Yangli,Yangli,GZ,1-------,RL,1401,,,,,,1
,CNYMD,Yangmadao,Yangmadao,SD,1-------,RL,1401,,,,,,1
,CNYPE,Yangpeng,Yangpeng,AH,1-------,RL,1401,,,,,,1
,CNYGP,Yangpu,Yangpu,SH,--3--6--,RL,1401,,,,,,0
,CNYPG,Yangpu Pt,Yangpu Pt,HI,1-------,AS,1407,,1942N 10912E,,19.700000,109.200000,1
,CNYSA,Yangshan,Yangshan,ZJ,1-------,AS,2301,,,,,,1
