change,locode,name,name_wo_diacritics,subdivision,function,status,date,iata,coordinates,remarks,latitude,longitude,is_water_port
,CNLID,Lidao,Lidao,SD,1-------,RL,1401,,,,,,1
,CNLIJ,Lijiang,Lijiang,SD,1-------,RL,1401,,,,,,1
,CNLLI,Liling,Liling,HN,123-----,RL,0601,,2740N 11329E,,27.666667,113.483333,1
,CNLNH,Linhai,Linhai,ZJ,1-3--6--,RL,0407,,2851N 12107E,,28.850000,121.116667,1
,CNTNC,Lintao,Lintao,GS,1-------,RL,1401,,,,,,1
,CNLUI,Lisui,Lisui,BJ,1-3-----,RL,0601,,4004N 11645E,,40.066667,116.750000,1
,CNLUD,Liudu,Liudu,GD,1-------,AS,1601,,2304N 11200E,,23.066667,112.000000,1
,CNLJP,Liujia Pt,Liujia Pt,HB,1-------,RL,1401,,,,,,1
,CNLJD,Liujiadu,Liujiadu,AH,1-------,RL,1401,,,,,,1
,CNLJN,Liujing,Liujing,GX,1-------,RL,1401,,,,,,1
,CNLKP,Liukou Pt,Liukou Pt,HB,1-------,RL,1401,,,,,,1
,CNLZL,Liusha,Liusha,GD,1-------,AS,1407,,2054N 11004E,,20.900000,110.066667,1
,CNXML,Liuwudian,Liuwudian,FJ,1-------,AS,1407,,,,,,1
,CNLIU,Liuyang,Liuyang,HN,1-------,RL,1401,,,,,,1
,CNLZH,Liuzhou,Liuzhou,GX,123-----,AS,2107,,2319N 10924E,,23.316667,109.400000,1
,CNLZP,Liuzuo Pt,Liuzuo Pt,HB,1-------,RL,1401,,,,,,1
,CNLYP,Liying Pt,Liying Pt,HB,1-------,RL,1401,,,,,,1
,CNLGA,Long'an,Long'an,GX,1-------,RL,1401,,,,,,1
,CNLGU,Longguan,Longguan,HE,1-3-----,RL,0601,,4046N 11534E,,40.766667,115.566667,1
,CNLGI,Longhai,Longhai,HN,1-3-----,RL,0601,,2628N 11316E,,26.466667,113.266667,1
,CNLKU,Longkou Pt,Longkou Pt,SD,1-------,AS,1601,,3739N 12021E,,37.650000,120.350000,1
,CNLMN,Longmen,Longmen,GX,1-------,RL,1401,,,,,,1
,CNLPP,Longping Pt,Longping Pt,HB,1-------,RL,1401,,,,,,1
,CNLGW,Longwu,Longwu,SH,1-------,AS,1601,,,,,,1
,CNLGY,Longyan Pt,Longyan Pt,SD,1-------,AS,1407,,3726N 12238E,,37.433333,122.633333,1
,CNLOZ,Longzhou,Longzhou,GX,1-------,RL,1401,,,,,,1
