"OID_","World Port Index Number","Region Name","Main Port Name","Alternate Port Name","UN/LOCODE","Country Code","World Water Body","IHO S-130 Sea Area","Sailing Direction or Publication","Publication Link","Standard Nautical Chart","IHO S-57 Electronic Navigational Chart","IHO S-101 Electronic Navigational Chart","Digital Nautical Chart","Tidal Range (m)","Entrance Width (m)","Channel Depth (m)","Anchorage Depth (m)","Cargo Pier Depth (m)","Oil Terminal Depth (m)","Liquified Natural Gas Terminal Depth (m)","Maximum Vessel Length (m)","Maximum Vessel Beam (m)","Maximum Vessel Draft (m)","Offshore Maximum Vessel Length (m)","Offshore Maximum Vessel Beam (m)","Offshore Maximum Vessel Draft (m)","Harbor Size","Harbor Type","Harbor Use","Shelter Afforded","Entrance Restriction - Tide","Entrance Restriction - Heavy Swell","Entrance Restriction - Ice","Entrance Restriction - Other","Overhead Limits","Underkeel Clearance Management System","Good Holding Ground","Turning Area","Port Security","Estimated Time of Arrival Message","Quarantine - Pratique","Quarantine - Sanitation","Quarantine - Other","Traffic Separation Scheme","Vessel Traffic Service","First Port of Entry","US Representative","Pilotage - Compulsory","Pilotage - Available","Pilotage - Local Assistance","Pilotage - Advisable","Tugs - Salvage","Tugs - Assistance","Communications - Telephone","Communications - Telefax","Communications - Radio","Communications - Radiotelephone","Communications - Airport","Communications - Rail","Search and Rescue","NAVAREA","Facilities - Wharves","Facilities - Anchorage","Facilities - Dangerous Cargo Anchorage","Facilities - Med Mooring","Facilities - Beach Mooring","Facilities - Ice Mooring","Facilities - Ro-Ro","Facilities - Solid Bulk","Facilities - Liquid Bulk","Facilities - Container","Facilities - Breakbulk","Facilities - Oil Terminal","Facilities - LNG Terminal","Facilities - Other","Medical Facilities","Garbage Disposal","Chemical Holding Tank Disposal","Degaussing","Dirty Ballast Disposal","Cranes - Fixed","Cranes - Mobile","Cranes - Floating","Cranes Container","Lifts - 100+ Tons","Lifts - 50-100 Tons","Lifts - 25-49 Tons","Lifts - 0-24 Tons","Services - Longshoremen","Services - Electricity","Services -Steam","Services - Navigation Equipment","Services - Electrical Repair","Services - Ice Breaking","Services -Diving","Supplies - Provisions","Supplies - Potable Water","Supplies - Fuel Oil","Supplies - Diesel Oil","Supplies - Aviation Fuel","Supplies - Deck","Supplies - Engine","Repairs","Dry Dock","Railway","Latitude","Longitude"
"832.0","57825.0","China -- 57815","Huangpuxingang","","CN HUN","China","South China Sea; North Pacific Ocean","","Sailing Directions Pub. 161 (Enroute) - South China Sea and Gulf of Thailand","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub161bk.pdf&type=view","93726.0","","","a2357825, gen23b","2.0","0.0","1.8","6.4","14.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Small","River (Natural)","Unknown","Good","Yes","Yes","Unknown","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","XI","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Limited","Medium","Small","23.050000000000001","113.500000000000000"
"999.0","57760.0","China -- 57740","Haikou","Hoihow","CN HIG","China","South China Sea; North Pacific Ocean","","Sailing Directions Pub. 161 (Enroute) - South China Sea and Gulf of Thailand","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub161bk.pdf&type=view","93610.0","","","coa23b, gen23b, h2357752","1.0","0.0","9.4","15.5","9.4","0.0","0.0","263.2","33.0","10.0","0.0","0.0","0.0","Very Small","Coastal (Natural)","Unknown","Fair","Yes","Yes","No","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Yes","No","Yes","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","XI","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","No","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Limited","Unknown","Unknown","20.050000000000001","110.283332999999999"
"1016.0","60233.0","China Continued -- 59850","Dandong","","CN DDZ","China","Korea Bay; Yellow Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","803417.0","","","a2360275, coa23e, gen23a","5.0","0.0","4.9","4.9","6.4","3.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Very Small","Open Roadstead","Unknown","Fair","Unknown","Unknown","No","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","XI","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No","Unknown","Unknown","No","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Limited","Unknown","Medium","39.816667000000002","124.150000000000006"
"1110.0","59970.0","China Continued -- 59850","Shanghai","Shanghai","CN SGH","China","East China Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","94219.0","","","coa23d, gen23a, h2359970","2.0","0.0","7.9","14.0","11.0","9.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Large","River (Natural)","Unknown","Good","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","XI","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Major","Large","Large","31.216667000000001","121.500000000000000"
"1119.0","60190.0","China Continued -- 59850","Tianjin Xin Gang","Tien Ching; Tientsin","CN TXG","China","Bo Hai; Yellow Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","94363.0","","","a2360180, coa23e, gen23a, h2360180","3.0","0.0","14.0","15.5","21.6","12.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Large","River (Natural)","Unknown","Excellent","Yes","Unknown","Yes","Yes","Unknown","Unknown","Yes","No","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Yes","No","Yes","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","XI","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","No","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Limited","Large","Large","38.966667000000001","117.833332999999996"
"1132.0","60200.0","China Continued -- 59850","Qinhuangdao","Chin Huang Tao; Chin Wangtao; Qinhuangdao","CN SHP","China","Bo Hai; Yellow Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","94360, 94420","","","coa23e, gen23a, h2360200","1.0","0.0","12.5","14.0","15.5","11.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Medium","Coastal (Breakwater)","Unknown","Fair","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","XI","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Yes","Yes","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Limited","Medium","Medium","39.933332999999998","119.616667000000007"
"1136.0","60220.0","China Continued -- 59850","Yingkou","Newchwang","CN YIK","China","Bo Hai; Yellow Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","94380.0","","","a2360220, coa23e, gen23a, h2360220","2.0","0.0","4.9","7.9","4.9","11.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Small","Coastal (Breakwater)","Unknown","Fair","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","XI","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Limited","Unknown","Small","40.683332999999998","122.233333000000002"
"1149.0","60160.0","China Continued -- 59850","Yantai","Chefoo; Chin Fou","CN YTG","China","Yellow Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","94420.0","","","a2360160, coa23e, gen23a, h2360160","2.0","0.0","14.0","15.5","14.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Small","Coastal (Breakwater)","Unknown","Good","Yes","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","No","Yes","Yes","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","XI","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Yes","Unknown","Yes","Yes","Major","Unknown","Medium","37.549999999999997","121.450000000000003"
"1166.0","59950.0","China Continued -- 59850","Zhen Hai","Chen-hai; Chinhai","CN ZHI","China","East China Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","94203.0","","","a2359940, coa23d, gen23a, h2359940","2.0","0.0","4.9","3.4","6.4","14.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Very Small","River (Natural)","Unknown","Good","Yes","No","No","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","XI","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Moderate","Unknown","Medium","29.949999999999999","121.700000000000003"
"1242.0","60125.0","China Continued -- 59850","Lanshan","","CN LSN","China","Yellow Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","94280.0","","","coa23d, gen23a","3.0","0.0","14.0","12.5","12.5","7.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Very Small","Open Roadstead","Unknown","Fair","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","XI","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","35.079999999999998","119.366667000000007"
"1810.0","57745.0","China -- 57740","Fang-Cheng","","CN FAN","China","Gulf of Tonkin; South China Sea; North Pacific Ocean","","Sailing Directions Pub. 161 (Enroute) - South China Sea and Gulf of Thailand","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub161bk.pdf&type=view","93650.0","","","coa23b, gen23b","4.0","0.0","15.5","11.0","12.5","9.4","0.0","0.0","54.0","20.0","0.0","0.0","0.0","Medium","River (Natural)","Unknown","Good","Yes","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Unknown","Yes","Unknown","XI","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Limited","Small","Unknown","21.750000000000000","108.349999999999994"
"1822.0","59930.0","China Continued -- 59850","Haimen","Haimen; Taizhou","CN HME","China","East China Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","94180.0","","","coa23d, gen23a, h2359925","4.0","0.0","6.4","7.9","4.9","6.4","0.0","0.0","0.0","15.3","0.0","0.0","0.0","Very Small","River (Natural)","Unknown","Good","Yes","Yes","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","XI","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Limited","Unknown","Unknown","28.683333000000001","121.450000000000003"
"1823.0","59960.0","China Continued -- 59850","Zhoushan","Dinghai","CN ZOS","China","East China Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","94203.0","","","a2359940, coa23d, gen23a","1.0","0.0","21.6","21.6","23.2","3.4","0.0","0.0","0.0","23.0","0.0","0.0","0.0","Small","Coastal (Natural)","Unknown","Good","Yes","Unknown","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","XI","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Limited","Medium","Unknown","30.000000000000000","122.099999999999994"
"2523.0","59974.0","China Continued -- 59850","Changshu","","CN CGS","China","East China Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","","","","a2359970, gen23a","3.0","0.0","6.4","12.5","6.4","7.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Small","Open Roadstead","Unknown","Fair","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","XI","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","31.766667000000002","120.950000000000003"
"2524.0","59991.0","China Continued -- 59850","Nantong","","CN NTG","China","East China Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","","","","gen23a","2.0","0.0","9.4","9.4","7.9","6.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Small","River (Natural)","Unknown","Fair","Unknown","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","XI","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Limited","Medium","Unknown","32.000000000000000","120.799999999999997"
"2716.0","57775.0","China -- 57740","Lon Shui Terminal","","","China","South China Sea; North Pacific Ocean","","Sailing Directions Pub. 161 (Enroute) - South China Sea and Gulf of Thailand","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub161bk.pdf&type=view","","","","gen23b","0.0","0.0","23.2","0.0","0.0","23.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Large","Open Roadstead","Unknown","Poor","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","XI","Yes","No","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No","Unknown","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No","Unknown","Unknown","Unknown","Unknown","None","Unknown","Unknown","20.833333000000000","115.683333000000005"
"2787.0","59985.0","China Continued -- 59850","Jiangyin","","CN JGY","China","East China Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","","","","gen23a","2.0","0.0","6.4","4.9","7.9","4.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Small","River (Natural)","Unknown","Fair","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","XI","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Limited","Unknown","Unknown","31.916667000000000","120.233333000000002"
"2788.0","59986.0","China Continued -- 59850","Changzhou","","CN CZX","China","East China Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","","","","gen23a","2.0","0.0","9.4","4.9","11.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Small","Open Roadstead","Unknown","Poor","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","XI","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Limited","Unknown","Unknown","31.966667000000001","119.983333000000002"
"2789.0","59987.0","China Continued -- 59850","Gaogang","Taizhou","CN GAO","China","East China Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","","","","gen23a","2.0","0.0","9.4","9.4","7.9","6.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Small","River (Natural)","Unknown","Fair","Unknown","Unknown","No","Yes","No","Unknown","Yes","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","XI","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Limited","Unknown","Unknown","32.283332999999999","119.849999999999994"
"2807.0","57750.0","China -- 57740","Beihai","Pakho; Pakhoi","CN BIH","China","Gulf of Tonkin; South China Sea; North Pacific Ocean","","Sailing Directions Pub. 161 (Enroute) - South China Sea and Gulf of Thailand","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub161bk.pdf&type=view","93650.0","","","a2357750, coa23b, gen23b, h2357750","3.0","0.0","11.0","9.4","11.0","11.0","0.0","299.0","49.0","12.9","0.0","0.0","0.0","Very Small","Open Roadstead","Unknown","Good","Yes","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Unknown","Unknown","XI","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","No","Unknown","Yes","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Limited","Unknown","Unknown","21.483332999999998","109.066666999999995"
"2808.0","57859.0","China -- 57855","Huizhou","","CN HUI","China","South China Sea; North Pacific Ocean","","Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China","https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view","93730.0","","","coa23c, gen23b","1.0","0.0","9.4","11.0","7.9","9.4","0.0","340.0","60.0","19.8","0.0","0.0","0.0","Very Small","Coastal (Natural)","Unknown","Fair","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","No","Yes","Yes","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","XI","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No","Unknown","Unknown","No","Yes","Yes","Yes","Unknown","Unknown","Unknown","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No","No","Unknown","Unknown","Unknown","None","Unknown","Unknown","22.716667000000001","114.516666999999998"
