FID,County name,Province name,Storage potential-DSA (Mt),Storage potential-EOR (Mt),Storage potential-ALL (Mt),Injection rate capability-DSA (Mt/a),Injection rate capability-EOR (Mt/a)
115,Dongcheng District,Beijing,0,0,0,0,0
116,Fangshan District,Beijing,0,0,0,0,0
117,Fengtai District,Beijing,0,0,0,0,0
118,Haidian District,Beijing,0,0,0,0,0
119,Huairou District,Beijing,0,0,0,0,0
120,Mentougou District,Beijing,0,0,0,0,0
121,Miyun District,Beijing,0,0,0,0,0
122,Pinggu District,Beijing,0,0,0,0,0
123,Shijingshan District,Beijing,0,0,0,0,0
124,Shunyi District,Beijing,0,0,0,0,0
125,Tongzhou District,Beijing,0,0.11,0.11,0,0
126,Xicheng District,Beijing,0,0,0,0,0
127,Yanqing District,Beijing,0,0,0,0,0
128,Cangshan District,Fujian,0,0,0,0,0
129,Fuqing City,Fujian,0,0,0,0,0
130,Gulou District,Fujian,0,0,0,0,0
131,Jin 'an District,Fujian,0,0,0,0,0
132,Lianjiang County,Fujian,0,0,0,0,0
133,Luoyuan County,Fujian,0,0,0,0,0
134,equina,Fujian,0,0,0,0,0
135,Minhou County,Fujian,0,0,0,0,0
136,Minqing County,Fujian,0,0,0,0,0
137,Pingtan County,Fujian,0,0,0,0,0
138,Taijiang District,Fujian,0,0,0,0,0
139,Yongtai County,Fujian,0,0,0,0,0
140,Changle District,Fujian,0,0,0,0,0
141,Liancheng County,Fujian,0,0,0,0,0
142,Shanghang County,Fujian,0,0,0,0,0
143,Wuping County,Fujian,0,0,0,0,0
144,Xinluo District,Fujian,0,0,0,0,0
145,Yongding District,Fujian,0,0,0,0,0
146,Zhangping City,Fujian,0,0,0,0,0
147,Changting County,Fujian,0,0,0,0,0
148,Guangze County,Fujian,0,0,0,0,0
149,Jian 'ou City,Fujian,0,0,0,0,0
150,Jianyang District,Fujian,0,0,0,0,0
151,Pucheng County,Fujian,0,0,0,0,0
152,Shaowu City,Fujian,0,0,0,0,0
153,Shunchang County,Fujian,0,0,0,0,0
154,Songxi County,Fujian,0,0,0,0,0
155,Wuyishan City,Fujian,0,0,0,0,0
156,Yanping District,Fujian,0,0,0,0,0
157,Zhenghe County,Fujian,0,0,0,0,0
158,Fu'an City,Fujian,0,0,0,0,0
159,Fuding City,Fujian,0,0,0,0,0
160,Gutian County,Fujian,0,0,0,0,0
161,Jiaocheng District,Fujian,0,0,0,0,0
162,Pingnan County,Fujian,0,0,0,0,0
163,Shouning County,Fujian,0,0,0,0,0
164,Xiapu County,Fujian,0,0,0,0,0
165,Zherong County,Fujian,0,0,0,0,0
166,Zhouning County,Fujian,0,0,0,0,0
167,Chengxiang District,Fujian,0,0,0,0,0
168,Hanjiang District,Fujian,0,0,0,0,0
169,Licheng District,Fujian,0,0,0,0,0
170,Xianyou County,Fujian,0,0,0,0,0
171,Xiuyu District,Fujian,0,0,0,0,0
172,Anxi County,Fujian,0,0,0,0,0
173,Dehua County,Fujian,0,0,0,0,0
174,Fengze District,Fujian,0,0,0,0,0
175,Huian County,Fujian,0,0,0,0,0
176,Jinmen County,Fujian,0,0,0,0,0
177,Jinjiang City,Fujian,0,0,0,0,0
178,Licheng District,Fujian,0,0,0,0,0
179,Luojiang District,Fujian,0,0,0,0,0
180,Nan'an City,Fujian,0,0,0,0,0
