mode,min_distance_km,max_distance_km,route_factor,fixed_cost_usd_per_tco2,cost_usd_per_tkm,emissions_kgco2e_per_tkm,reference_flow_mtpa,scale_exponent,min_scale_multiplier,max_scale_multiplier
pipeline_short,0,500,1.25,2.0,0.035,0.004,5,0.28,0.65,2.8
pipeline_long,200,2500,1.18,5.0,0.020,0.003,10,0.25,0.55,2.5
rail_tank,0,1800,1.35,8.0,0.055,0.018,1,0.10,0.85,1.6
ship_coastal,300,3500,1.45,10.0,0.018,0.010,5,0.18,0.70,2.0
