year,regional_grid_name_cn,om_factor_tco2_per_mwh,bm_factor_tco2_per_mwh,source
2024,华北区域电网,0.9531,0.3095,CCN/NCSC 2024 emission-reduction project regional grid baseline factors
2024,东北区域电网,1.0368,0.1184,CCN/NCSC 2024 emission-reduction project regional grid baseline factors
2024,华东区域电网,0.7782,0.1951,CCN/NCSC 2024 emission-reduction project regional grid baseline factors
2024,华中区域电网,0.8597,0.2726,CCN/NCSC 2024 emission-reduction project regional grid baseline factors
2024,西北区域电网,0.8990,0.3441,CCN/NCSC 2024 emission-reduction project regional grid baseline factors
2024,南方区域电网,0.7906,0.1816,CCN/NCSC 2024 emission-reduction project regional grid baseline factors
2024,西南区域电网,0.5909,0.0603,CCN/NCSC 2024 emission-reduction project regional grid baseline factors
